,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,Brandon Ingram,Career,Duke,36,34,5.9,13.4,.442,3.7,8.0,.464,2.2,5.4,.410,3.2,4.7,.682,1.9,4.9,6.8,2.0,1.1,1.4,2.0,2.1,17.3,10.59
1,Kris Dunn,Career,Providence,95,83,4.5,9.9,.450,3.7,7.8,.476,0.8,2.2,.354,3.1,4.5,.693,1.1,4.0,5.1,5.8,2.2,0.4,3.3,2.9,12.8,8.09
2,Buddy Hield,Career,Oklahoma,132,118,5.9,13.2,.448,3.3,6.5,.508,2.6,6.8,.390,2.8,3.4,.836,1.6,3.4,5.0,1.9,1.3,0.3,2.2,2.0,17.4,9.28
3,Jamal Murray,Career,Kentucky,36,36,6.8,14.9,.454,3.6,7.3,.502,3.1,7.7,.408,3.3,4.2,.783,1.5,3.7,5.2,2.2,1.0,0.3,2.3,2.1,20.0,8.84
4,Marquese Chriss,Career,Washington,34,34,5.3,9.9,.530,4.6,8.2,.568,0.6,1.8,.350,2.6,3.8,.682,2.5,2.9,5.4,0.8,0.9,1.6,2.0,4.1,13.7,8.12
5,Jakob Poeltl,Career,Utah,70,70,5.1,7.7,.658,5.1,7.7,.659,0.0,0.0,.000,3.1,5.2,.605,2.8,5.2,8.0,1.3,0.5,1.7,1.8,2.4,13.3,8.10
6,Domantas Sabonis,Career,Gonzaga,74,32,5.2,8.2,.632,5.1,8.0,.638,0.1,0.2,.357,3.1,4.2,.729,2.6,6.8,9.4,1.3,0.5,0.6,2.0,3.0,13.5,4.67
7,Denzel Valentine,Career,Michigan State,144,116,4.0,9.1,.442,2.2,4.6,.476,1.8,4.5,.408,1.5,2.0,.779,1.1,4.8,5.9,4.4,0.9,0.3,2.2,2.1,11.4,9.21
8,Wade Baldwin,Career,Vanderbilt,68,54,3.4,8.0,.431,2.2,5.1,.436,1.2,2.9,.422,3.5,4.4,.800,0.4,3.6,4.1,4.8,1.3,0.2,2.3,2.5,11.6,7.45
9,Henry Ellenson,Career,Marquette,33,33,5.9,13.2,.446,5.0,10.0,.495,0.9,3.2,.288,4.3,5.8,.749,2.2,7.6,9.7,1.8,0.8,1.5,2.4,2.5,17.0,5.57
10,Malik Beasley,Career,Florida State,34,33,5.4,11.6,.471,3.8,7.4,.518,1.6,4.2,.387,3.1,3.8,.813,1.3,4.0,5.3,1.5,0.9,0.2,1.7,2.2,15.6,8.16
11,Caris LeVert,Career,Michigan,103,70,3.6,8.2,.434,2.3,4.9,.456,1.3,3.2,.401,2.0,2.6,.770,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,9.30
12,Malachi Richardson,Career,Syracuse,37,37,4.1,11.1,.369,2.0,5.1,.388,2.1,6.1,.353,3.1,4.2,.720,0.5,3.8,4.3,2.1,1.1,0.3,2.1,2.5,13.4,9.75
13,Brice Johnson,Career,UNC,148,80,4.8,8.4,.575,4.8,8.4,.575,0.0,0.0,,1.9,2.8,.708,2.1,4.9,7.0,0.9,0.8,1.1,1.3,2.5,11.6,9.73
14,Pascal Siakam,Career,New Mexico State,68,61,6.5,11.8,.551,6.4,11.5,.559,0.0,0.3,.176,3.5,5.0,.711,3.6,6.1,9.7,1.5,0.9,2.0,1.9,2.6,16.6,-3.60
15,Skal Labissière,Career,Kentucky,36,18,2.7,5.3,.516,2.7,5.2,.521,0.0,0.1,.000,1.1,1.7,.661,1.0,2.2,3.1,0.3,0.3,1.6,0.9,3.0,6.6,8.84
16,Dejounte Murray,Career,Washington,34,34,5.9,14.3,.416,4.9,10.8,.457,1.0,3.5,.288,3.2,4.9,.663,1.4,4.6,6.0,4.4,1.8,0.3,3.2,2.6,16.1,8.12
17,Damian Jones,Career,Vanderbilt,99,95,5.1,9.1,.566,5.1,9.0,.570,0.0,0.1,.125,3.0,5.3,.565,2.1,4.3,6.4,0.7,0.4,1.7,2.0,3.0,13.3,7.13
18,Deyonta Davis,Career,Michigan State,35,16,3.4,5.7,.598,3.4,5.7,.598,0.0,0.0,,0.7,1.1,.605,2.1,3.4,5.5,0.7,0.3,1.8,0.9,2.3,7.5,6.94
19,Cheick Diallo,Career,Kansas,27,1,1.2,2.1,.569,1.2,2.1,.569,0.0,0.0,,0.6,1.0,.556,0.6,1.9,2.5,0.0,0.3,0.9,0.6,1.4,3.0,11.22
20,Tyler Ulis,Career,Kentucky,72,35,3.6,8.4,.427,2.4,5.1,.462,1.2,3.3,.371,2.9,3.4,.846,0.5,1.9,2.4,5.3,1.2,0.1,1.5,1.7,11.3,8.76
