,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,Jarrett Allen,Career,Texas,33,33,5.4,9.6,.566,5.4,9.4,.579,0.0,0.2,.000,2.5,4.5,.564,3.0,5.4,8.4,0.8,0.6,1.5,2.5,2.1,13.4,12.75
1,OG Anunoby,Career,Indiana,50,10,2.7,4.8,.563,2.1,3.3,.652,0.5,1.5,.365,0.9,1.8,.522,1.4,2.1,3.5,0.8,1.0,0.9,1.1,1.7,6.8,7.53
2,Tyler Lydon,Career,Syracuse,71,34,3.9,8.2,.476,2.5,4.8,.531,1.4,3.5,.400,2.4,2.9,.809,2.0,5.4,7.4,1.6,1.1,1.6,1.5,2.6,11.6,9.11
3,Caleb Swanigan,Career,Purdue,69,69,5.1,10.2,.501,4.2,7.9,.537,0.9,2.3,.376,3.3,4.4,.760,2.2,8.2,10.4,2.4,0.4,0.5,3.0,2.5,14.4,8.12
4,Kyle Kuzma,Career,Utah,96,64,3.9,7.7,.506,3.3,5.9,.567,0.5,1.8,.302,1.8,2.8,.633,1.6,3.9,5.5,1.5,0.3,0.4,1.6,1.6,10.1,6.84
5,Tony Bradley,Career,UNC,38,0,2.7,4.7,.573,2.7,4.7,.573,0.0,0.0,,1.7,2.8,.619,2.6,2.6,5.1,0.6,0.3,0.6,0.7,1.8,7.1,11.76
6,Derrick White,Career,Colorado,34,32,6.0,11.9,.507,4.4,7.6,.569,1.7,4.2,.396,4.4,5.4,.813,1.0,3.1,4.1,4.4,1.2,1.4,2.4,2.1,18.1,6.00
7,Josh Hart,Career,Villanova,146,77,4.6,9.1,.511,3.2,5.4,.592,1.4,3.6,.389,2.5,3.4,.720,1.7,3.8,5.6,1.8,1.1,0.3,1.3,2.2,13.2,8.51
8,Frank Jackson,Career,Georgia Southern,52,13,1.8,3.8,.472,1.8,3.8,.472,0.0,0.0,,1.5,2.7,.550,,,4.3,0.3,0.2,1.0,,,5.0,-6.09
9,Davon Reed,Career,Miami (FL),131,99,3.3,7.8,.430,1.8,3.9,.466,1.5,3.9,.395,2.0,2.6,.779,0.7,3.0,3.6,1.6,0.9,0.4,1.4,1.9,10.3,8.24
