,College_Games_Played,College_Games_Started,College_FG%,College_2PT_FG%,College_3PT_FG%,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,26,20,.478,.578,.343,.703,5.3,0.7,1.4,0.3,1.6,1.7,12.5,8.69
1,34,34,.478,.535,.394,.782,7.0,1.4,0.9,1.7,1.4,2.0,15.1,5.09
2,36,36,.453,.513,.301,.705,5.1,3.9,2.1,0.6,3.0,2.6,12.8,9.87
3,36,35,.465,.515,.347,.663,6.8,1.8,1.0,1.3,1.5,2.1,11.2,4.79
4,32,32,.446,.514,.346,.757,3.7,4.3,2.0,0.5,2.1,2.4,11.7,8.08
5,61,33,.463,.541,.325,.833,3.0,1.7,0.9,0.4,1.3,1.7,9.0,9.86
6,36,36,.442,.484,.403,.854,5.1,1.7,1.4,0.3,1.3,2.1,14.1,11.84
7,33,21,.480,.523,.405,.830,5.4,1.2,0.5,0.4,2.0,2.5,16.3,9.45
8,64,41,.396,.428,.376,.872,3.0,1.0,0.5,0.4,1.2,1.7,11.8,7.70
9,33,33,.376,.424,.338,.793,4.2,2.8,1.1,0.2,2.9,2.1,15.3,10.54
10,77,30,.473,.566,.348,.699,5.0,1.2,0.8,0.9,0.9,2.0,12.1,8.66
11,28,7,.421,.414,.429,.793,2.4,1.0,0.8,0.2,1.4,1.5,8.3,7.44
12,33,5,.407,.446,.368,.743,4.5,0.8,0.5,0.6,1.0,2.0,5.3,5.43
13,29,29,.414,.496,.368,.800,2.8,2.0,0.4,0.7,1.3,2.2,14.2,8.69
14,86,82,.494,.552,.344,.679,6.2,3.6,1.4,0.5,2.1,2.2,12.3,7.99
15,52,33,.453,.512,.354,.791,4.7,2.2,1.0,0.7,2.9,2.5,14.6,4.06
16,36,36,.486,.669,.283,.649,7.9,0.8,0.6,0.9,1.3,2.5,9.8,9.65
17,107,93,.406,.471,.369,.824,2.7,2.4,1.3,0.1,1.4,1.6,13.6,5.73
18,104,89,.434,.506,.316,.732,7.7,2.0,0.8,0.4,1.8,2.0,14.2,11.26
19,94,68,.484,.586,.384,.745,4.6,0.9,0.6,0.2,1.0,1.7,10.9,6.15
20,32,25,.411,.466,.239,.822,4.7,1.4,0.6,0.5,1.3,1.8,8.3,7.98
21,123,118,.492,.577,.313,.747,6.0,1.7,1.1,0.5,1.7,2.6,10.8,8.35
22,33,32,.675,.675,,.573,5.3,0.7,0.6,1.7,1.3,3.3,7.7,8.66
23,90,35,.490,.544,.302,.661,4.1,1.0,1.3,0.2,0.8,1.7,7.4,9.45
24,34,33,.444,.525,.296,.761,7.0,2.4,2.0,0.7,2.1,3.0,10.7,
25,66,59,.388,.429,.352,.700,3.8,3.1,1.4,0.4,2.0,2.3,17.1,5.98
26,72,50,.438,.478,.373,.821,4.0,2.5,0.9,0.4,1.7,1.8,10.6,9.17
27,32,32,.483,.513,.438,.771,8.8,3.7,1.8,0.5,2.3,1.9,19.9,
28,30,28,.495,.521,.389,.698,3.8,2.2,1.1,0.3,2.4,1.7,11.2,8.66
29,117,105,.454,.506,.340,.689,4.4,3.7,1.0,0.8,2.6,1.6,11.2,3.61
30,32,32,.443,.469,.303,.751,2.3,4.6,1.8,0.1,2.4,2.1,16.3,4.17
31,91,63,.436,.476,.402,.796,2.3,3.1,1.1,0.1,1.4,1.7,13.0,
32,36,22,.433,.510,.278,.712,3.9,0.9,1.1,0.5,1.0,2.9,7.1,9.87
33,68,67,.433,.518,.291,.714,5.7,1.5,0.6,0.6,2.3,2.3,11.1,9.17
34,99,68,.668,.687,.273,.723,5.8,0.8,0.4,2.0,1.1,1.6,11.8,8.96
35,91,47,.435,.563,.281,.638,4.1,1.8,0.7,0.7,1.5,1.5,6.1,9.49
36,99,69,.619,.619,,.702,8.6,1.1,0.2,1.5,1.8,2.0,15.5,9.26
37,38,38,.636,.636,,.405,3.9,0.4,0.6,0.3,0.6,1.1,4.3,10.43
38,92,87,.419,.457,.324,.777,3.3,4.6,1.7,0.6,1.4,1.6,7.7,6.72
39,122,96,.412,.480,.368,.814,4.6,0.7,0.7,0.5,1.1,2.1,10.5,10.32
40,68,66,.489,.515,.277,.613,6.7,1.2,0.8,0.9,1.6,2.7,10.7,6.94
