,Player,College_Season,Offensive_Win_Shares,Defensive_Win_Shares,Win_Shares,Win_Shares_Per_40
0,Kenyon Martin,Career,8.2,16.4,24.7,.340
1,Stromile Swift,Career,4.1,5.1,9.2,.275
2,Marcus Fizer,Career,9.2,7.1,16.4,.217
3,Mike Miller,Career,5.0,3.4,8.4,.194
4,DerMarr Johnson,Career,2.6,2.2,4.8,.218
5,Chris Mihm,Career,6.3,9.3,15.6,.222
6,Jamal Crawford,Career,0.7,0.2,0.9,.065
7,Joel Przybilla,Career,3.0,3.4,6.4,.190
8,Keyon Dooling,Career,2.9,3.1,6.0,.146
9,Jérôme Moïso,Career,2.4,4.5,6.8,.164
10,Etan Thomas,Career,9.3,14.2,23.5,.288
11,Courtney Alexander,,5.0,1.7,6.7,.135
12,Mateen Cleaves,Career,4.7,8.2,12.9,.137
13,Jason Collier,,4.1,2.6,6.7,.147
14,Desmond Mason,Career,9.4,9.8,19.2,.198
15,Quentin Richardson,Career,5.5,4.6,10.1,.185
16,Jamaal Magloire,Career,4.4,12.8,17.2,.243
17,Speedy Claxton,Career,9.9,9.5,19.4,.191
18,Morris Peterson,Career,10.0,8.2,18.3,.238
19,Donnell Harvey,Career,1.3,2.7,4.0,.216
20,Erick Barkley,Career,2.9,3.8,6.7,.118
21,Mark Madsen,Career,7.6,8.5,16.1,.237
22,Dan Langhi,Career,8.1,3.3,11.4,.154
23,Jake Voskuhl,Career,5.0,13.3,18.2,.238
24,Khalid El-Amin,Career,6.4,7.0,13.4,.165
25,Mike Smith,Career,4.8,3.2,8.0,.165
26,Eddie House,Career,6.7,5.0,11.7,.113
27,Eduardo Nájera,Career,3.5,12.2,15.8,.164
28,Lavor Postell,Career,5.2,6.3,11.6,.123
29,Hanno Möttölä,Career,9.4,5.8,15.2,.195
30,Michael Redd,Career,6.0,5.4,11.4,.137
31,Brian Cardinal,Career,9.4,7.6,17.0,.184
32,Jabari Smith,Career,4.8,3.9,8.7,.196
33,Jason Hart,Career,3.1,8.5,11.6,.103
34,Kaniel Dickens,Career,2.0,2.0,4.0,.131
35,Dan McClintock,Career,10.5,3.8,14.3,.262
36,Chris Porter,Career,2.6,7.6,10.2,.251
37,Jason Richardson,Career,3.7,5.0,8.7,.229
38,Shane Battier,Career,13.5,16.3,29.8,.275
39,Eddie Griffin,Career,1.0,3.6,4.6,.189
40,Rodney White,Career,2.5,1.9,4.4,.202
41,Joe Johnson,Career,3.3,4.0,7.3,.182
42,Richard Jefferson,Career,5.0,4.8,9.8,.177
43,Troy Murphy,Career,11.5,4.5,15.9,.193
44,Steven Hunter,Career,3.8,4.0,7.9,.203
45,Kirk Haston,Career,4.5,7.0,11.5,.178
46,Michael Bradley,,5.5,0.9,6.4,.244
47,Jason Collins,Career,6.4,6.2,12.6,.314
48,Zach Randolph,Career,2.3,2.8,5.1,.315
49,Brendan Haywood,Career,10.6,8.8,19.3,.233
