,Player,College_Season,Offensive_Win_Shares,Defensive_Win_Shares,Win_Shares,Win_Shares_Per_40
0,Jae Crowder,Career,4.8,4.8,12.6,.233
1,Draymond Green,Career,9.6,9.6,19.2,.212
2,Orlando Johnson,,4.2,4.2,15.3,.199
3,Quincy Acy,Career,6.4,6.4,16.3,.187
4,Quincy Miller,Career,1.3,1.3,3.5,.153
5,Khris Middleton,Career,4.0,4.0,8.8,.156
6,Tyshawn Taylor,Career,6.6,6.6,15.1,.150
7,Doron Lamb,Career,2.8,2.8,10.9,.187
8,Mike Scott,Career,1.3,1.3,1.9,.059
9,Kim English,Career,5.1,5.1,11.7,.138
10,Justin Hamilton,Career,5.2,5.2,9.6,.135
11,Darius Miller,Career,5.9,5.9,13.9,.147
12,Kevin Murphy,Career,3.2,3.2,10.3,.110
13,Kris Joseph,Career,6.7,6.7,14.8,.159
14,Darius Johnson-Odom,Career,3.7,3.7,11.9,.147
15,Robbie Hummel,Career,9.3,9.3,22.2,.232
16,Robert Sacre,Career,5.9,5.9,13.0,.176
17,Anthony Bennett,Career,2.2,2.2,5.7,.238
18,Victor Oladipo,Career,4.9,4.9,12.7,.198
19,Cody Zeller,Career,4.2,4.2,14.1,.271
20,Alex Len,Career,2.6,2.6,6.1,.165
21,Nerlens Noel,Career,2.3,2.3,3.9,.206
22,Ben McLemore,Career,2.3,2.3,6.5,.217
23,Kentavious Caldwell-Pope,Career,3.8,3.8,9.6,.182
24,Trey Burke,Career,3.2,3.2,12.9,.197
25,CJ McCollum,Career,6.6,6.6,20.5,.224
26,Michael Carter-Williams,Career,4.0,4.0,7.4,.176
27,Steven Adams,Career,1.9,1.9,3.5,.185
28,Kelly Olynyk,Career,3.6,3.6,10.3,.237
29,Shabazz Muhammad,Career,0.8,0.8,3.7,.149
30,Shane Larkin,Career,3.3,3.3,8.5,.159
31,Tony Snell,Career,3.8,3.8,8.9,.138
32,Gorgui Dieng,Career,7.8,7.8,13.2,.190
33,Mason Plumlee,Career,8.2,8.2,16.6,.181
34,Solomon Hill,Career,6.0,6.0,15.0,.149
35,Reggie Bullock,Career,0.3,0.3,0.2,
36,Andre Roberson,Career,7.5,7.5,13.7,.185
37,Archie Goodwin,Career,1.5,1.5,3.1,.117
38,Allen Crabbe,Career,4.9,4.9,13.6,.159
39,Carrick Felix,Career,3.1,3.1,7.3,.111
40,Isaiah Canaan,Career,6.1,6.1,20.4,.210
41,Tony Mitchell,Career,0.6,0.6,-0.1,
42,Nate Wolters,Career,4.7,4.7,23.8,.226
43,Jeff Withey,Career,6.4,6.4,13.0,.224
44,Grant Jerrett,Career,1.1,1.1,2.3,.150
45,Jamaal Franklin,Career,5.3,5.3,10.9,.198
46,Mike Muscala,Career,8.3,8.3,22.9,.241
47,Erick Green,Career,4.0,4.0,15.4,.169
48,Ryan Kelly,Career,0.4,0.4,0.6,.052
49,Erik Murphy,Career,4.8,4.8,12.1,.195
50,Lorenzo Brown,Career,3.9,3.9,9.6,.117
51,Peyton Siva,Career,8.0,8.0,12.9,.137
52,Andrew Wiggins,Career,1.7,1.7,4.9,.170
53,Jabari Parker,Career,1.9,1.9,5.5,.205
54,Joel Embiid,Career,1.7,1.7,3.4,.213
55,Aaron Gordon,Career,3.3,3.3,5.4,.183
56,Marcus Smart,Career,5.4,5.4,11.0,.207
57,Julius Randle,Career,2.4,2.4,5.9,.191
58,Nik Stauskas,Career,2.3,2.3,10.7,.174
59,Noah Vonleh,Career,2.0,2.0,3.6,.182
60,Elfrid Payton,Career,4.9,4.9,10.9,.139
61,Doug McDermott,Career,5.2,5.2,26.8,.235
62,Zach LaVine,Career,1.2,1.2,2.5,.111
63,Adreian Payne,Career,6.2,6.2,13.2,.192
64,James Young,Career,1.7,1.7,4.7,.145
65,Tyler Ennis,Career,2.2,2.2,5.5,.180
66,Gary Harris,Career,3.6,3.6,9.8,.183
67,Mitch McGary,Career,2.2,2.2,4.9,.201
68,Jordan Adams,Career,3.8,3.8,11.2,.215
69,Rodney Hood,,1.2,1.2,4.9,.170
70,Shabazz Napier,Career,7.4,7.4,20.2,.175
71,Josh Huestis,Career,6.0,6.0,11.6,.137
72,Joe Harris,Career,0.0,0.0,0.2,.051
73,Cleanthony Early,Career,4.1,4.1,11.3,.230
74,Jarnell Stokes,Career,5.2,5.2,12.7,.197
75,Spencer Dinwiddie,Career,3.9,3.9,12.3,.190
76,Jerami Grant,Career,3.0,3.0,6.6,.168
77,Nick Johnson,Career,6.5,6.5,13.5,.162
78,Markel Brown,Career,6.3,6.3,14.3,.140
79,Dwight Powell,Career,6.9,6.9,13.0,.146
80,Jordan Clarkson,,1.2,1.2,4.4,.142
81,Russ Smith,Career,8.3,8.3,17.1,.212
82,Lamar Patterson,Career,6.0,6.0,15.5,.171
83,Cameron Bairstow,Career,5.2,5.2,13.0,.186
84,Semaj Christon,Career,2.7,2.7,6.8,.122
85,Jordan McRae,Career,4.4,4.4,12.0,.156
86,Cory Jefferson,Career,4.4,4.4,12.7,.196
87,Karl-Anthony Towns,Career,2.9,2.9,6.4,.311
88,Jahlil Okafor,Career,2.2,2.2,6.7,.235
89,Willie Cauley-Stein,Career,7.1,7.1,12.8,.198
90,Stanley Johnson,Career,2.9,2.9,5.7,.212
91,Frank Kaminsky,Career,6.3,6.3,19.1,.259
92,Justise Winslow,Career,2.5,2.5,5.5,.196
93,Myles Turner,Career,2.1,2.1,4.0,.213
94,Trey Lyles,Career,2.3,2.3,4.4,.213
95,Devin Booker,Career,5.6,5.6,11.1,.143
96,Cameron Payne,Career,3.3,3.3,11.3,.202
97,Terry Rozier,Career,4.9,4.9,9.5,.193
98,Rashad Vaughn,Career,1.1,1.1,2.5,.132
99,Sam Dekker,Career,5.3,5.3,15.9,.201
100,Jerian Grant,Career,4.5,4.5,18.4,.170
101,Delon Wright,Career,6.3,6.3,15.8,.266
102,Justin Anderson,Career,5.5,5.5,10.8,.182
103,Bobby Portis,Career,3.8,3.8,10.5,.210
104,Rondae Hollis-Jefferson,Career,5.5,5.5,10.8,.211
105,Tyus Jones,Career,2.1,2.1,6.5,.196
106,Jarell Martin,Career,3.5,3.5,7.5,.150
107,Chris McCullough,Career,1.2,1.2,1.4,.126
108,Kevon Looney,Career,2.0,2.0,4.8,.172
109,Montrezl Harrell,Career,7.7,7.7,16.0,.217
110,Jordan Mickey,Career,4.7,4.7,7.5,.136
111,Anthony Brown,Career,0.9,0.9,1.2,.080
112,Rakeem Christmas,Career,6.8,6.8,13.3,.171
113,Richaun Holmes,Career,5.7,5.7,12.6,.200
114,Darrun Hilliard,Career,6.1,6.1,14.2,.160
115,Josh Richardson,Career,-0.2,-0.2,-0.1,
116,Joe Young,Career,0.1,0.1,0.2,.022
117,Andrew Harrison,Career,3.9,3.9,8.3,.147
118,Norman Powell,Career,5.0,5.0,11.0,.123
119,Dakari Johnson,Career,2.9,2.9,5.8,.196
120,Branden Dawson,Career,7.9,7.9,15.1,.175
121,Ben Simmons,Career,2.1,2.1,6.0,.207
122,Brandon Ingram,Career,1.5,1.5,4.9,.157
123,Kris Dunn,Career,5.8,5.8,10.8,.144
124,Buddy Hield,Career,6.2,6.2,18.5,.177
125,Jamal Murray,Career,1.7,1.7,6.1,.193
