,Player,FNAME
1,Cam Whitmore,cam-whitmore-1
2,Taylor Hendricks,taylor-hendricks-1
3,Anthony Black,anthony-black-1
4,Jarace Walker,jarace-walker-1
5,Cason Wallace,cason-wallace-1
6,Kobe Bufkin,kobe-bufkin-1
7,Gradey Dick,gradey-dick-1
9,Brice Sensabaugh,brice-sensabaugh-1
11,Jordan Hawkins,jordan-hawkins-1
12,Keyonte George,keyonte-george-1
14,Kris Murray,kris-murray-1
15,Dariq Whitehead,dariq-whitehead-1
17,Bobi Klintman,bobi-klintman-1
18,Jett Howard,jett-howard-1
19,Colby Jones,colby-jones-1
20,Maxwell Lewis,maxwell-lewis-1
21,Noah Clowney,noah-clowney-1
23,Marcus Sasser,marcus-sasser-1
24,Jalen Wilson,jalen-wilson-1
26,Julian Strawther,julian-strawther-1
29,Julian Phillips,julian-phillips-1
31,Kobe Brown,kobe-brown-1
32,Adem Bona,adem-bona-1
33,Jaylen Clark,jaylen-clark-1
34,Kevin McCullar,kevin-mccullar-1
35,Terquavion Smith,terquavion-smith-1
36,Trey Alexander,trey-alexander-1
37,Brandin Podziemski,brandin-podziemski-1
38,Amari Bailey,amari-bailey-1
39,Omari Moore,omari-moore-1
40,Judah Mintz,judah-mintz-1
41,Adam Flagler,adam-flagler-1
44,Jordan Walsh,jordan-walsh-1
45,Arthur Kaluma,arthur-kaluma-1
46,Ryan Kalkbrenner,ryan-kalkbrenner-1
47,Coleman Hawkins,coleman-hawkins-1
48,Zach Edey,zach-edey-1
49,Dillon Mitchell,dillon-mitchell-1
50,Reece Beekman,reece-beekman-1
52,Seth Lundy,seth-lundy-1
53,Mouhamed Gueye,mouhamed-gueye-1
54,Jalen Slawson,jalen-slawson-1
55,Colin Castleton,colin-castleton-1
56,Chris Livingston,chris-livingston-1
57,Ben Sheppard,ben-sheppard-1
58,Adama Sanogo,adama-sanogo-1
59,Isaiah Wong,isaiah-wong-1
0,Brandon Miller,brandon-miller-3
8,Dereck Lively Jr.,dereck-lively-ii-1
10,Jalen Hood-Schifino,jalen-hood-schifino-1
13,Nick Smith Jr.,nick-smith-jr-1
16,G.G. Jackson,gregory-jackson-ii-1
22,Jaime Jaquez,jaime-jaquezjr-1
25,Andre Jackson,andre-jackson-8
27,Terrence Shannon Jr.,terrence-shannonjr-1
28,Olivier-Maxence Prosper,olivier-maxence-prosper-1
30,Trayce Jackson-Davis,trayce-jackson-davis-1
42,Jordan Miller,jordan-miller-2
43,Ricky Council IV,ricky-counciliv-1
51,DaRon Holmes,daron-holmesii-1
