,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,Kenyon Martin,Career,Cincinnati,116,97,4.4,7.5,.586,4.4,7.5,.590,0.0,0.1,.222,2.2,3.7,.581,,,7.5,1.2,1.1,2.5,1.6,2.9,11.0,6.71
1,Stromile Swift,Career,LSU,50,40,5.1,9.0,.560,4.9,8.4,.585,0.2,0.7,.242,3.1,5.1,.613,,,7.0,0.7,1.3,2.6,2.5,2.6,13.4,5.92
2,Darius Miles,Career,Alabama,53,3,1.3,3.5,.380,0.7,1.4,.487,0.6,2.0,.306,0.9,1.2,.787,0.7,1.6,2.3,0.6,0.4,0.4,1.1,1.5,4.2,10.42
3,Marcus Fizer,Career,Iowa State,97,91,7.1,13.9,.511,6.9,13.2,.524,0.2,0.7,.292,4.4,6.3,.702,,,7.4,1.0,0.9,0.9,2.3,2.6,18.9,6.30
4,Mike Miller,Career,Florida,65,56,4.5,9.2,.483,3.3,5.8,.565,1.2,3.5,.345,3.1,4.4,.718,,,6.0,2.3,1.2,0.3,2.2,1.9,13.3,7.10
5,DerMarr Johnson,Career,Cincinnati,32,32,4.4,9.2,.478,2.8,4.8,.575,1.6,4.4,.371,2.2,3.0,.737,,,3.8,1.4,1.0,0.9,1.4,2.0,12.6,8.50
6,Chris Mihm,Career,Texas,96,93,5.2,10.4,.497,5.1,10.1,.503,0.1,0.3,.300,4.2,6.1,.684,,,9.8,0.6,0.4,2.8,2.3,3.0,14.6,7.76
7,Jamal Crawford,Career,Michigan,17,16,6.2,15.0,.412,4.2,9.1,.468,1.9,5.9,.327,2.4,3.0,.784,,,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.27
8,Joel Przybilla,Career,Minnesota,49,45,4.1,6.9,.591,4.1,6.9,.591,0.0,0.0,,1.7,3.3,.521,,,6.9,1.9,0.7,3.4,2.9,3.1,9.9,9.77
9,Keyon Dooling,Career,Missouri,59,40,3.8,9.2,.411,2.6,5.8,.452,1.1,3.4,.338,3.4,4.7,.733,,,2.4,3.4,1.3,0.5,2.3,1.7,12.1,6.11
10,Jérôme Moïso,Career,UCLA,62,51,4.9,9.8,.495,4.8,9.5,.505,0.1,0.4,.227,2.2,3.5,.614,,,6.8,1.1,1.0,1.3,2.3,2.8,12.0,9.48
11,Etan Thomas,Career,Syracuse,122,109,4.1,6.8,.600,4.1,6.8,.600,0.0,0.0,,2.9,4.8,.598,,,6.9,0.4,0.7,3.5,1.7,2.8,11.0,7.19
12,Courtney Alexander,,Fresno State,59,27,8.7,19.1,.458,6.9,13.5,.514,1.8,5.6,.324,3.6,4.7,.769,,,4.2,3.0,1.5,0.2,2.4,1.6,22.9,
13,Mateen Cleaves,Career,Michigan State,123,115,4.4,10.8,.406,3.2,7.1,.454,1.2,3.7,.313,2.6,3.5,.738,,,2.1,6.6,1.6,0.1,3.8,2.2,12.5,9.50
14,Jason Collier,,Georgia Tech,55,55,6.0,13.1,.458,4.9,10.0,.488,1.1,3.2,.362,3.9,5.3,.728,,,8.3,1.5,0.7,1.2,3.3,3.0,17.1,
15,Desmond Mason,Career,Oklahoma State,129,109,4.8,9.8,.486,3.8,7.1,.529,1.0,2.7,.372,2.6,3.6,.731,,,6.2,1.1,1.2,0.7,1.7,2.1,13.2,6.04
16,Quentin Richardson,Career,DePaul,64,62,6.3,14.0,.454,4.5,9.0,.500,1.8,5.0,.369,3.4,4.7,.728,,,10.2,1.6,0.9,0.3,2.2,2.3,17.9,7.92
17,Jamaal Magloire,Career,Kentucky,145,72,2.7,5.4,.503,2.7,5.4,.503,0.0,0.0,,1.9,3.0,.636,,,5.4,0.4,0.5,1.8,1.7,2.7,7.3,10.46
18,Speedy Claxton,Career,Hofstra,119,59,5.9,12.6,.468,5.4,10.9,.491,0.5,1.7,.322,4.5,6.1,.748,,,4.8,5.5,2.4,0.3,3.1,2.3,16.9,-4.44
19,Morris Peterson,Career,Michigan State,137,62,4.1,8.5,.484,3.0,5.6,.537,1.1,2.8,.377,2.3,3.1,.746,,,4.7,0.9,0.9,0.3,1.5,2.2,11.6,9.41
20,Donnell Harvey,Career,Florida,37,9,3.9,7.7,.507,3.9,7.6,.509,0.0,0.0,.000,2.3,3.8,.610,,,7.0,1.0,0.7,0.8,1.6,2.7,10.1,8.51
21,Erick Barkley,Career,St. John's (NY),65,64,4.9,12.3,.396,3.2,7.2,.444,1.6,5.0,.328,3.2,4.4,.727,,,3.1,4.6,2.6,0.3,2.2,2.4,14.6,8.01
22,Mark Madsen,Career,Stanford,108,77,4.0,6.8,.587,4.0,6.7,.589,0.0,0.0,.000,3.0,5.0,.596,,,7.9,0.6,0.4,0.6,1.3,2.5,10.9,8.70
23,Dan Langhi,Career,Vanderbilt,121,61,4.0,9.0,.445,2.9,6.0,.475,1.1,3.0,.383,3.3,3.9,.831,,,4.6,0.7,0.5,0.2,1.6,1.5,12.4,7.29
24,Jake Voskuhl,Career,UConn,138,135,2.3,4.3,.542,2.3,4.3,.542,0.0,0.0,,1.6,2.4,.656,,,6.4,0.9,0.6,1.4,1.6,3.2,6.3,8.09
25,Khalid El-Amin,Career,UConn,108,106,5.4,12.9,.416,3.6,7.8,.456,1.8,5.1,.355,2.7,3.3,.822,,,3.0,4.4,1.7,0.1,2.7,2.1,15.3,8.09
26,Mike Smith,Career,Louisiana-Monroe,55,52,6.4,15.0,.428,4.1,7.5,.537,2.4,7.4,.318,4.1,5.3,.769,,,8.2,2.7,1.6,0.8,4.4,1.5,19.3,-5.43
27,Eddie House,Career,Arizona State,124,114,6.2,14.5,.425,4.1,9.0,.462,2.0,5.5,.366,2.2,2.7,.798,,,4.0,3.3,2.1,0.2,1.9,2.4,16.5,8.05
28,Eduardo Nájera,Career,Oklahoma,126,102,4.9,11.3,.430,4.2,9.0,.467,0.7,2.3,.288,2.7,4.0,.669,,,7.2,1.7,1.5,0.7,2.0,2.9,13.1,5.20
29,Lavor Postell,Career,St. John's (NY),129,104,3.8,8.9,.430,3.1,6.7,.464,0.7,2.2,.326,2.7,3.4,.789,,,5.6,1.6,1.0,0.4,1.8,2.3,11.1,7.76
30,Hanno Möttölä,Career,Utah,120,87,4.5,9.0,.500,3.9,7.2,.542,0.6,1.8,.333,2.9,3.7,.774,,,4.6,1.2,0.3,0.4,2.0,2.8,12.4,4.47
31,Chris Carrawell,Career,Duke,136,94,4.0,8.2,.486,3.5,6.9,.509,0.5,1.3,.360,2.3,3.4,.667,,,4.5,2.3,0.8,0.8,1.7,1.5,10.7,9.34
32,Michael Redd,Career,Ohio State,96,96,7.3,16.3,.448,6.0,12.2,.491,1.3,4.1,.319,3.7,5.7,.649,2.2,4.0,6.2,2.5,1.6,0.1,2.7,1.9,19.6,8.26
33,Brian Cardinal,Career,Purdue,132,125,3.8,8.1,.461,2.8,5.4,.508,1.0,2.7,.365,3.5,4.6,.761,,,5.7,2.1,2.0,0.3,1.9,3.1,12.0,10.03
34,Jabari Smith,Career,LSU,61,58,4.4,8.3,.532,4.0,7.0,.579,0.4,1.4,.298,3.3,5.1,.639,,,8.2,2.1,0.9,1.1,3.0,2.6,12.6,5.92
35,Mark Karcher,Career,Temple,67,63,5.0,13.5,.373,2.8,6.6,.426,2.2,6.9,.322,2.2,3.6,.613,,,5.2,2.2,1.6,0.1,1.9,2.4,14.5,7.96
36,Jason Hart,Career,Syracuse,132,131,4.0,10.1,.393,2.9,6.9,.424,1.1,3.2,.326,2.4,3.3,.712,,,3.3,5.4,2.5,0.1,3.3,2.7,11.4,7.19
37,Kaniel Dickens,Career,Idaho,55,29,3.3,6.9,.483,3.1,6.3,.497,0.2,0.7,.351,2.4,3.8,.630,,,5.7,0.6,0.9,0.7,2.0,2.2,9.3,-0.19
38,Ernest Brown,Career,Alabama,43,0,0.4,0.9,.450,0.3,0.7,.484,0.1,0.2,.333,0.5,0.7,.688,,,0.4,0.6,0.2,0.0,0.6,,1.4,6.05
39,Dan McClintock,Career,Northern Arizona,115,32,4.7,7.5,.632,4.7,7.5,.632,0.0,0.0,.000,2.4,3.7,.652,,,4.2,0.7,0.3,1.7,1.8,2.2,11.9,-2.98
40,Cory Hightower,,Winthrop,58,55,4.2,9.5,.440,2.2,4.2,.510,2.0,5.3,.384,2.4,3.2,.729,0.9,4.7,5.5,2.1,0.9,0.4,2.9,2.4,12.7,
41,Chris Porter,Career,Auburn,56,54,5.7,12.2,.467,5.5,11.5,.477,0.2,0.7,.308,3.7,5.7,.651,,,8.0,1.1,2.1,0.4,2.2,2.6,15.3,6.60
42,Jaquay Walls,Career,Colorado,65,60,4.3,10.3,.419,3.0,6.6,.455,1.3,3.7,.356,4.3,5.8,.746,,,3.2,4.2,1.5,0.2,2.9,2.8,14.3,5.64
43,Scoonie Penn,,Ohio State,66,66,5.3,12.6,.420,3.0,6.0,.497,2.3,6.6,.350,3.4,4.6,.748,,,4.1,4.3,2.1,0.1,2.6,2.1,16.3,
44,Pete Mickeal,Career,Cincinnati,65,64,5.0,9.2,.545,4.6,8.0,.573,0.4,1.2,.355,3.8,5.4,.711,,,6.8,1.8,1.5,0.4,2.1,2.5,14.2,8.19
45,Kwame Brown,,SMU,48,17,1.2,2.1,.560,1.2,2.1,.566,0.0,0.0,.000,0.2,1.1,.182,,,2.8,0.2,0.3,0.7,0.8,1.9,2.5,
46,Jason Richardson,Career,Michigan State,70,35,3.7,7.4,.503,2.9,5.3,.551,0.8,2.1,.383,1.4,2.1,.649,,,5.0,1.4,0.8,0.5,1.1,1.9,9.6,9.73
47,Shane Battier,Career,Duke,146,120,4.5,8.9,.500,2.8,4.9,.570,1.7,4.1,.416,3.0,3.8,.777,,,6.1,1.6,1.8,1.7,1.1,2.0,13.6,10.07
48,Eddie Griffin,Career,Seton Hall,30,30,6.9,16.0,.429,5.5,11.7,.469,1.4,4.3,.320,2.7,3.6,.734,3.1,7.6,10.8,1.6,0.9,4.4,2.2,2.4,17.8,6.03
49,Rodney White,Career,Charlotte,28,26,6.7,13.8,.487,5.5,10.4,.533,1.2,3.4,.347,4.1,5.7,.713,1.8,4.7,6.5,1.5,1.2,0.7,2.9,2.6,18.7,7.91
50,Joe Johnson,Career,Arkansas,53,41,5.7,12.2,.466,4.5,9.3,.485,1.2,2.9,.406,2.4,3.2,.753,,,6.1,2.4,1.7,0.5,2.5,1.7,15.0,6.96
51,Richard Jefferson,Career,Arizona,84,77,4.0,8.1,.490,3.3,6.2,.528,0.7,1.9,.368,2.5,3.5,.718,,,5.0,2.8,0.6,0.8,2.7,2.6,11.2,10.20
52,Troy Murphy,Career,Notre Dame,94,93,7.2,14.6,.496,6.6,12.5,.522,0.7,2.0,.335,6.2,8.0,.777,,,9.8,1.7,1.2,1.3,3.0,2.9,21.4,6.35
53,Steven Hunter,Career,DePaul,63,53,4.0,6.8,.586,4.0,6.8,.589,0.0,0.0,.000,1.9,3.2,.600,,,4.7,0.4,0.2,2.0,1.6,2.2,9.9,7.92
54,Kirk Haston,Career,Indiana,96,68,5.7,12.0,.473,5.4,11.2,.480,0.3,0.7,.366,3.0,4.2,.717,,,7.8,1.2,0.8,1.1,2.0,2.7,14.6,10.88
55,Michael Bradley,,Villanova,31,31,8.2,11.8,.692,7.8,10.7,.727,0.4,1.1,.353,4.0,6.8,.590,,,9.8,2.6,0.9,1.8,2.8,2.9,20.8,
56,Jason Collins,Career,Stanford,73,45,3.6,5.9,.612,3.4,5.5,.623,0.2,0.4,.444,3.4,4.8,.716,,,6.6,0.8,0.5,1.2,1.5,2.3,10.8,8.87
57,Zach Randolph,Career,Michigan State,33,8,4.2,7.1,.587,4.2,7.1,.590,0.0,0.0,.000,2.4,3.8,.635,3.1,3.6,6.7,1.0,0.7,0.7,1.6,1.8,10.8,9.54
58,Brendan Haywood,Career,UNC,141,100,3.8,6.0,.637,3.8,6.0,.637,0.0,0.0,,2.3,4.0,.591,,,6.0,0.8,0.3,2.2,1.6,2.4,10.0,11.05
59,Joseph Forte,Career,UNC,69,66,6.9,15.3,.454,5.3,10.9,.489,1.6,4.4,.368,3.2,4.0,.810,1.4,4.3,5.8,3.0,1.8,0.4,2.4,2.0,18.7,11.79
60,Jeryl Sasser,Career,SMU,117,58,5.8,14.6,.394,4.6,10.6,.438,1.1,4.1,.280,4.4,6.2,.710,,,8.3,3.2,1.7,0.6,2.8,1.8,17.0,2.17
61,Brandon Armstrong,Career,Pepperdine,65,64,6.6,15.1,.439,4.4,9.5,.467,2.2,5.6,.391,2.7,3.2,.824,,,3.2,1.5,1.7,0.2,1.9,2.6,18.1,2.56
62,Gerald Wallace,Career,Alabama,36,2,3.5,8.0,.438,3.2,6.3,.511,0.3,1.8,.175,2.4,4.3,.568,2.3,3.7,6.0,1.5,1.2,1.0,2.4,2.4,9.8,6.29
63,Samuel Dalembert,Career,Seton Hall,59,48,3.0,5.5,.537,3.0,5.5,.537,0.0,0.0,,1.2,2.2,.539,,,5.8,0.3,0.4,2.8,2.0,3.2,7.1,5.57
64,Jamaal Tinsley,Career,Iowa State,68,68,4.2,10.8,.388,3.4,8.4,.405,0.8,2.3,.327,3.4,4.9,.685,,,4.5,6.3,2.6,0.8,4.0,2.9,12.5,6.01
65,Tony Parker,Career,UCLA,136,69,3.4,6.0,.555,3.4,6.0,.555,0.0,0.0,,1.6,3.1,.516,2.0,3.1,5.1,0.3,0.4,0.7,1.2,2.8,8.3,8.34
66,Trenton Hassell,Career,Austin Peay,84,57,6.9,14.6,.471,5.4,10.4,.523,1.5,4.2,.345,4.1,5.3,.779,,,8.2,4.5,1.1,0.7,3.4,1.5,19.4,-3.83
67,Gilbert Arenas,Career,Arizona,70,64,5.6,12.1,.466,4.1,7.9,.523,1.5,4.2,.361,3.0,4.0,.738,,,3.8,2.2,1.9,0.2,2.7,2.4,15.8,11.13
68,Omar Cook,Career,St. John's (NY),29,29,4.9,13.5,.360,2.5,5.9,.424,2.3,7.6,.309,3.3,4.4,.742,0.6,2.4,3.0,8.7,2.3,0.2,5.1,2.8,15.3,8.27
69,Will Solomon,Career,Clemson,94,64,5.0,12.7,.392,2.7,6.5,.418,2.3,6.2,.366,3.0,4.1,.717,,,2.8,2.6,1.2,0.4,3.4,2.5,15.2,7.42
70,Terence Morris,Career,Maryland,136,104,4.7,9.6,.495,4.0,7.4,.542,0.7,2.2,.338,2.5,3.2,.780,,,6.8,1.7,1.2,1.9,2.0,2.3,12.7,10.39
71,Brian Scalabrine,Career,USC,92,91,5.7,11.2,.513,5.2,9.7,.538,0.5,1.5,.343,3.7,4.8,.770,,,6.1,2.7,1.0,0.9,3.4,2.7,15.7,9.08
72,Jeff Trepagnier,Career,USC,106,75,4.1,8.6,.471,3.5,6.7,.521,0.6,1.9,.298,1.9,2.9,.659,,,5.2,1.4,1.9,1.0,1.8,2.6,10.6,8.68
73,Damone Brown,Career,Syracuse,113,91,4.3,8.7,.497,4.2,7.9,.525,0.2,0.8,.225,2.0,2.7,.742,,,6.0,1.1,1.0,0.8,1.4,2.5,10.9,6.91
74,Michael Wright,Career,Arizona,99,95,5.3,9.3,.575,5.3,9.2,.577,0.0,0.1,.167,4.4,5.9,.749,,,8.4,0.4,0.5,0.3,1.8,2.2,15.1,10.20
75,Earl Watson,Career,UCLA,129,129,4.0,8.9,.450,3.0,5.9,.507,1.0,3.0,.341,2.2,3.3,.654,,,3.8,4.7,1.8,0.4,3.3,2.9,11.2,10.51
76,Jamison Brewer,Career,Auburn,58,33,2.1,4.5,.456,1.8,3.5,.525,0.2,1.0,.220,1.3,2.5,.527,,,4.7,4.1,1.1,0.1,2.2,1.3,5.7,7.68
77,Bobby Simmons,Career,DePaul,93,92,4.3,10.1,.428,3.0,6.2,.490,1.3,3.9,.331,3.6,4.6,.783,,,7.5,2.2,1.3,0.2,2.5,2.9,13.6,7.95
78,Eric Chenowith,Career,Kansas,139,89,3.4,7.6,.454,3.4,7.5,.457,0.0,0.1,.100,2.3,3.2,.723,,,6.7,0.9,0.5,1.7,2.0,2.8,9.2,8.63
79,Kyle Hill,Career,Eastern Illinois,98,82,6.7,14.4,.463,4.5,8.9,.507,2.2,5.5,.391,3.1,4.1,.762,,,4.3,3.2,1.7,0.5,2.8,1.4,18.6,-3.54
80,Sean Lampley,Career,California,123,99,5.4,10.9,.494,5.2,10.2,.512,0.1,0.7,.210,3.6,5.3,.671,,,7.2,2.4,0.7,0.6,2.7,2.5,14.4,8.37
81,Loren Woods,,Arizona,55,53,5.2,10.0,.522,5.2,9.9,.525,0.0,0.1,.200,3.9,4.9,.796,,,7.0,1.8,0.7,3.4,2.1,2.1,14.3,
82,Ousmane Cisse,Career,Eastern Illinois,120,105,2.6,4.8,.535,2.6,4.8,.535,0.0,0.0,,1.1,2.0,.556,2.4,4.2,6.6,1.0,0.6,0.5,1.6,2.7,6.3,-6.39
83,Ruben Boumtje-Boumtje,Career,Georgetown,101,86,3.4,7.0,.485,3.4,7.0,.487,0.0,0.0,.000,2.8,4.2,.664,,,7.0,0.9,0.8,2.5,2.7,2.8,9.6,4.92
84,Alton Ford,Career,Houston,26,18,3.7,8.5,.432,3.3,7.2,.462,0.3,1.3,.265,3.1,5.1,.609,1.6,4.3,5.9,0.7,0.2,0.7,2.5,3.7,10.8,4.91
85,Andre Hutson,Career,Michigan State,138,129,3.8,6.2,.609,3.8,6.2,.609,0.0,0.0,.000,2.6,3.6,.727,,,6.1,1.2,0.8,0.5,1.7,2.5,10.1,9.90
86,Jarron Collins,Career,Stanford,129,65,2.9,5.5,.520,2.8,5.4,.527,0.0,0.1,.250,2.6,3.9,.669,,,5.5,1.1,0.6,0.5,1.2,2.3,8.4,8.87
