,Player,College_Season,College,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Offensive_Rebounds_pergame,Defensive_Rebounds_pergame,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,John Henson,Career,UNC,109,82,4.4,8.8,.497,4.3,8.5,.505,0.0,0.2,.208,1.6,3.2,.484,2.5,5.7,8.1,1.0,0.6,2.5,1.5,1.5,10.3,9.02
1,Maurice Harkless,Career,St. John's (NY),32,32,6.0,13.3,.452,5.5,10.9,.506,0.5,2.5,.215,2.9,4.3,.676,2.8,5.9,8.6,1.5,1.6,1.4,2.5,2.3,15.5,6.98
2,Royce White,Career,Iowa State,34,33,5.1,9.6,.534,5.0,9.3,.541,0.1,0.4,.333,3.0,6.0,.498,2.5,6.8,9.3,5.0,1.2,0.9,3.8,2.6,13.4,7.32
3,Tyler Zeller,Career,UNC,117,75,4.7,8.6,.543,4.7,8.6,.544,0.0,0.0,.000,3.5,4.5,.775,2.7,4.0,6.7,0.6,0.7,1.1,1.4,2.3,12.8,8.85
4,Terrence Jones,Career,Kentucky,76,69,5.0,10.8,.467,4.5,9.1,.493,0.6,1.7,.328,3.4,5.3,.638,2.5,5.5,8.0,1.5,1.2,1.8,1.8,2.4,14.0,8.42
5,Andrew Nicholson,Career,St. Bonaventure,123,118,6.6,11.4,.575,6.3,10.8,.586,0.2,0.6,.377,3.7,5.1,.720,2.2,5.0,7.2,0.7,0.5,2.0,2.4,3.0,17.1,1.35
6,Jared Sullinger,Career,Ohio State,74,72,6.1,11.5,.530,5.8,10.8,.541,0.3,0.7,.365,4.9,6.7,.733,3.3,6.4,9.7,1.2,1.1,0.8,1.8,2.7,17.3,8.73
7,Fab Melo,Career,Syracuse,63,54,2.1,3.6,.576,2.1,3.6,.576,0.0,0.0,,0.7,1.3,.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,8.40
8,John Jenkins,Career,Vanderbilt,98,74,5.3,11.2,.468,2.1,4.1,.521,3.1,7.1,.438,3.3,3.8,.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,7.59
9,Jared Cunningham,Career,Cleveland State,33,12,1.8,4.9,.377,1.1,2.6,.419,0.8,2.3,.329,0.7,1.0,.750,0.7,1.9,2.6,0.4,0.4,0.4,0.7,2.1,5.2,2.12
