,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
1019,2,LAL,Brandon Ingram,Duke,7,413,13618,7924,2142,1674,0.464,0.364,0.784,33,19.2,5.2,4.1,22.1,0.078,-0.1,6.7,Brandon-Ingram
1020,3,BOS,Jaylen Brown,California,7,470,13964,8428,2453,1054,0.477,0.365,0.723,29.7,17.9,5.2,2.2,29.5,0.101,0.3,8.1,Jaylen-Brown
1022,5,MIN,Kris Dunn,Providence,7,267,6465,2285,915,1153,0.432,0.313,0.744,24.2,8.6,3.4,4.3,5.8,0.043,-1.7,0.4,Kris-Dunn
1023,6,NOP,Buddy Hield,Oklahoma,7,548,16157,8807,2403,1405,0.434,0.402,0.858,29.5,16.1,4.4,2.6,21.4,0.064,0.4,9.7,Buddy-Hield
1024,7,DEN,Jamal Murray,Kentucky,6,410,12517,6937,1515,1722,0.447,0.373,0.87,30.5,16.9,3.7,4.2,26,0.1,0.5,7.8,Jamal-Murray
1025,8,SAC,Marquese Chriss,Washington,6,292,5338,2206,1366,298,0.456,0.29,0.667,18.3,7.6,4.7,1,6.5,0.058,-2.4,-0.5,Marquese-Chriss
1026,9,TOR,Jakob Poeltl,Utah,7,488,10315,3932,3177,798,0.628,0.5,0.536,21.1,8.1,6.5,1.6,34.9,0.162,1.2,8.3,Jakob-Poeltl
1028,11,ORL,Domantas Sabonis,Gonzaga,7,494,14542,7471,4788,2066,0.548,0.326,0.731,29.4,15.1,9.7,4.2,47.2,0.156,2.5,16.6,Domantas-Sabonis
1029,12,UTA,Taurean Prince,Baylor,7,424,10128,4392,1574,731,0.421,0.372,0.818,23.9,10.4,3.7,1.7,9.6,0.046,-1.9,0.1,Taurean-Prince
1031,14,CHI,Denzel Valentine,Michigan State,5,256,4817,1795,857,466,0.394,0.36,0.787,18.8,7,3.3,1.8,4.5,0.044,-1.9,0.2,Denzel-Valentine
1034,17,MEM,Wade Baldwin,Vanderbilt,3,56,579,174,69,78,0.355,0.25,0.776,10.3,3.1,1.2,1.4,-0.3,-0.028,-5.3,-0.5,Wade-Baldwin
1035,18,DET,Henry Ellenson,Marquette,5,83,787,342,206,49,0.371,0.336,0.773,9.5,4.1,2.5,0.6,0.4,0.023,-3.7,-0.3,Henry-Ellenson
1036,19,DEN,Malik Beasley,Florida State,7,417,9119,4513,1108,542,0.422,0.378,0.808,21.9,10.8,2.7,1.3,11.8,0.062,-1.1,2,Malik-Beasley
1037,20,IND,Caris LeVert,Michigan,7,392,10998,5546,1498,1544,0.436,0.344,0.735,28.1,14.1,3.8,3.9,16.3,0.071,-0.5,4.3,Caris-LeVert
1038,21,ATL,DeAndre' Bembry,Saint Joseph's,6,296,5670,1750,950,533,0.474,0.283,0.611,19.2,5.9,3.2,1.8,4.4,0.038,-2.3,-0.4,DeAndre'-Bembry
1039,22,CHO,Malachi Richardson,Syracuse,3,70,625,198,70,24,0.358,0.301,0.783,8.9,2.8,1,0.3,-0.1,-0.009,-6.1,-0.7,Malachi-Richardson
1042,25,LAC,Brice Johnson,UNC,2,21,107,47,34,3,0.449,0,0.6,5.1,2.2,1.6,0.1,0.1,0.062,-0.6,0,Brice-Johnson
1044,27,TOR,Pascal Siakam,New Mexico State,7,471,14432,8010,3078,1656,0.487,0.327,0.774,30.6,17,6.5,3.5,41,0.136,2,14.6,Pascal-Siakam
1045,28,PHO,Skal Labissière,Kentucky,4,148,2595,1069,662,152,0.492,0.353,0.748,17.5,7.2,4.5,1,4.4,0.081,-2.3,-0.2,Skal-Labissière
1046,29,SAS,Dejounte Murray,Washington,6,394,10950,5508,2309,1988,0.458,0.335,0.784,27.8,14,5.9,5,21.1,0.093,1.6,9.9,Dejounte-Murray
