,Player,FNAME
0,Kenyon Martin,Kenyon-Martin
1,Stromile Swift,Stromile-Swift
2,Marcus Fizer,Marcus-Fizer
3,Mike Miller,Mike-Miller
4,DerMarr Johnson,DerMarr-Johnson
5,Chris Mihm,Chris-Mihm
6,Jamal Crawford,Jamal-Crawford
7,Keyon Dooling,Keyon-Dooling
8,Jérôme Moïso,Jérôme-Moïso
9,Mateen Cleaves,Mateen-Cleaves
10,Desmond Mason,Desmond-Mason
11,Quentin Richardson,Quentin-Richardson
12,Speedy Claxton,Speedy-Claxton
13,Morris Peterson,Morris-Peterson
14,Donnell Harvey,Donnell-Harvey
15,Erick Barkley,Erick-Barkley
16,Mark Madsen,Mark-Madsen
17,Dan Langhi,Dan-Langhi
18,Khalid El-Amin,Khalid-El-Amin
19,Mike Smith,Mike-Smith
20,Eddie House,Eddie-House
21,Eduardo Nájera,Eduardo-Nájera
22,Lavor Postell,Lavor-Postell
23,Hanno Möttölä,Hanno-Möttölä
24,Michael Redd,Michael-Redd
25,Brian Cardinal,Brian-Cardinal
26,Jabari Smith,Jabari-Smith
27,Jason Hart,Jason-Hart
28,Kaniel Dickens,Kaniel-Dickens
29,Dan McClintock,Dan-McClintock
30,Chris Porter,Chris-Porter
31,Jason Richardson,Jason-Richardson
32,Shane Battier,Shane-Battier
33,Eddie Griffin,Eddie-Griffin
34,Rodney White,Rodney-White
35,Joe Johnson,Joe-Johnson
36,Richard Jefferson,Richard-Jefferson
37,Troy Murphy,Troy-Murphy
38,Steven Hunter,Steven-Hunter
39,Kirk Haston,Kirk-Haston
40,Jason Collins,Jason-Collins
41,Zach Randolph,Zach-Randolph
42,Joseph Forte,Joseph-Forte
43,Jeryl Sasser,Jeryl-Sasser
44,Brandon Armstrong,Brandon-Armstrong
45,Gerald Wallace,Gerald-Wallace
46,Jamaal Tinsley,Jamaal-Tinsley
47,Trenton Hassell,Trenton-Hassell
48,Gilbert Arenas,Gilbert-Arenas
49,Omar Cook,Omar-Cook
