,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,FNAME
1103,22,BRK,Jarrett Allen,Texas,6,409,11282,4914,3630,580,0.63,0.181,0.704,27.6,12,8.9,1.4,44.4,0.189,1.9,11,Jarrett-Allen
1104,23,TOR,OG Anunoby,Indiana,6,368,10446,4268,1578,560,0.471,0.375,0.744,28.4,11.6,4.3,1.5,22.2,0.102,0.2,5.8,OG-Anunoby
1105,24,UTA,Tyler Lydon,Syracuse,2,26,96,23,18,6,0.5,0.4,0.333,3.7,0.9,0.7,0.2,0.2,0.084,-4.3,-0.1,Tyler-Lydon
1107,26,POR,Caleb Swanigan,Purdue,3,75,655,169,218,56,0.438,0.118,0.614,8.7,2.3,2.9,0.7,-0.2,-0.015,-6.2,-0.7,Caleb-Swanigan
1108,27,BRK,Kyle Kuzma,Utah,6,406,12638,6693,2579,998,0.449,0.338,0.725,31.1,16.5,6.4,2.5,15.1,0.057,-1.1,2.9,Kyle-Kuzma
1109,28,LAL,Tony Bradley,UNC,6,179,1994,792,729,90,0.631,0.5,0.681,11.1,4.4,4.1,0.5,7.5,0.181,0.2,1.1,Tony-Bradley
1110,29,SAS,Derrick White,Colorado,6,345,9126,4044,1157,1327,0.447,0.352,0.846,26.5,11.7,3.4,3.8,22.7,0.119,1.4,7.9,Derrick-White
1111,30,UTA,Josh Hart,Villanova,6,372,10525,3661,2294,904,0.465,0.35,0.741,28.3,9.8,6.2,2.4,21.8,0.099,-0.1,5.2,Josh-Hart
1114,31,CHO,Frank Jackson,Duke,5,214,3873,1816,392,222,0.421,0.332,0.786,18.1,8.5,1.8,1,2.5,0.031,-3.9,-1.9,Frank-Jackson
1115,32,PHO,Davon Reed,Miami (FL),4,122,1299,373,212,92,0.408,0.385,0.667,10.6,3.1,1.7,0.8,1.5,0.054,-2.9,-0.3,Davon-Reed
1116,33,ORL,Wes Iwundu,Kansas State,5,226,3827,989,555,208,0.408,0.292,0.798,16.9,4.4,2.5,0.9,4.2,0.053,-3.9,-1.8,Wes-Iwundu
1117,34,SAC,Frank Mason III,Kansas,4,103,1616,695,204,272,0.396,0.301,0.755,15.7,6.7,2,2.6,1.2,0.035,-2.6,-0.3,Frank-Mason III
1118,35,ORL,Ivan Rabb,California,2,85,1237,485,364,86,0.555,0.2,0.743,14.6,5.7,4.3,1,3.2,0.125,-1.7,0.1,Ivan-Rabb
1120,37,BOS,Semi Ojeleye,SMU,5,284,4111,975,613,126,0.384,0.344,0.717,14.5,3.4,2.2,0.4,5.2,0.061,-3.4,-1.5,Semi-Ojeleye
1121,38,CHI,Jordan Bell,Oregon,5,161,1937,593,497,201,0.552,0.2,0.636,12,3.7,3.1,1.2,4.9,0.121,0.2,1.1,Jordan-Bell
1122,39,PHI,Jawun Evans,Oklahoma State,2,56,843,237,96,110,0.345,0.263,0.776,15.1,4.2,1.7,2,-0.4,-0.022,-5.4,-0.7,Jawun-Evans
1123,40,NOP,Dwayne Bacon,Florida State,4,207,4012,1503,537,230,0.402,0.314,0.78,19.4,7.3,2.6,1.1,0.8,0.01,-5.1,-3.1,Dwayne-Bacon
1124,41,ATL,Tyler Dorsey,Oregon,3,107,1680,710,245,135,0.392,0.351,0.669,15.7,6.6,2.3,1.3,1.1,0.031,-3,-0.5,Tyler-Dorsey
1125,42,UTA,Thomas Bryant,Indiana,6,229,4506,2312,1310,250,0.598,0.366,0.757,19.7,10.1,5.7,1.1,15.7,0.168,1.3,3.7,Thomas-Bryant
1127,44,NYK,Damyean Dotson,Oregon,5,213,4242,1594,532,315,0.417,0.345,0.711,19.9,7.5,2.5,1.5,3,0.034,-2.8,-0.9,Damyean-Dotson
1128,45,HOU,Dillon Brooks,Oregon,6,345,9888,5002,1073,735,0.416,0.342,0.795,28.7,14.5,3.1,2.1,6.9,0.033,-3.8,-4.6,Dillon-Brooks
1129,46,PHI,Sterling Brown,SMU,6,268,4458,1431,891,268,0.419,0.363,0.796,16.6,5.3,3.3,1,6.6,0.071,-2.1,-0.1,Sterling-Brown
1130,47,IND,Ike Anigbogu,UCLA,2,14,36,13,12,1,0.333,,0.833,2.6,0.9,0.9,0.1,0,0.057,-1.1,0,Ike-Anigbogu
1131,48,MIL,Sindarius Thornwell,South Carolina,4,160,1721,401,206,111,0.407,0.34,0.672,10.8,2.5,1.3,0.7,1.1,0.032,-3.1,-0.5,Sindarius-Thornwell
1134,51,DEN,Monte Morris,Iowa State,6,342,8761,3583,865,1368,0.481,0.392,0.83,25.6,10.5,2.5,4,22.7,0.124,0.4,5.3,Monte-Morris
1135,52,NOP,Edmond Sumner,Xavier,5,161,2256,997,244,182,0.47,0.341,0.811,14,6.2,1.5,1.1,3.2,0.069,-3,-0.6,Edmond-Sumner
1136,53,BOS,Kadeem Allen,Arizona,3,47,640,258,71,109,0.435,0.349,0.757,13.6,5.5,1.5,2.3,1,0.075,-1.2,0.1,Kadeem-Allen
1137,54,PHO,Alec Peters,Valparaiso,1,20,225,82,37,12,0.378,0.31,0.8,11.3,4.1,1.9,0.6,0.3,0.055,-2.8,0,Alec-Peters
1138,55,UTA,Nigel Williams-Goss,Gonzaga,1,10,50,14,6,6,0.313,0.286,1,5,1.4,0.6,0.6,0,0.017,-3.9,0,Nigel-Williams-Goss
1139,56,BOS,Jabari Bird,California,1,13,115,39,19,8,0.577,0.429,0.462,8.8,3,1.5,0.6,0.2,0.098,-3.1,0,Jabari-Bird
1142,59,SAS,Jaron Blossomgame,Clemson,1,27,439,114,98,13,0.443,0.256,0.769,16.3,4.2,3.6,0.5,0.3,0.03,-3.8,-0.2,Jaron-Blossomgame
1146,1,PHO,Deandre Ayton,Arizona,5,303,9282,5046,3152,495,0.597,0.263,0.755,30.6,16.7,10.4,1.6,30.9,0.16,1.1,7.2,Deandre-Ayton
1147,2,SAC,Marvin Bagley III,Duke,5,208,5149,2760,1493,187,0.506,0.29,0.678,24.8,13.3,7.2,0.9,9.3,0.087,-1.9,0.1,Marvin-Bagley III
1149,4,MEM,Jaren Jackson Jr.,Michigan State,5,267,7308,4391,1476,300,0.466,0.352,0.79,27.4,16.4,5.5,1.1,19.4,0.128,0.7,5,Jaren-Jackson Jr.
1150,5,DAL,Trae Young,Oklahoma,5,353,11941,8990,1302,3285,0.437,0.351,0.876,33.8,25.5,3.7,9.3,33,0.132,3.1,15.3,Trae-Young
1151,6,ORL,Mo Bamba,Texas,5,275,4962,2070,1597,247,0.476,0.359,0.681,18,7.5,5.8,0.9,12.6,0.122,0.2,2.8,Mo-Bamba
1152,7,CHI,Wendell Carter Jr.,Duke,5,260,7283,3344,2300,536,0.516,0.321,0.733,28,12.9,8.8,2.1,18.1,0.12,-0.3,3.1,Wendell-Carter Jr.
1153,8,CLE,Collin Sexton,Alabama,5,266,8324,5041,768,858,0.464,0.38,0.826,31.3,19,2.9,3.2,7.9,0.045,-2.3,-0.7,Collin-Sexton
1154,9,NYK,Kevin Knox,Kentucky,5,275,4962,2053,801,205,0.385,0.342,0.713,18,7.5,2.9,0.7,0.3,0.003,-4.4,-3.1,Kevin-Knox
1155,10,PHI,Mikal Bridges,Villanova,5,392,12624,5154,1576,912,0.495,0.376,0.857,32.2,13.1,4,2.3,32.1,0.122,1.2,10.3,Mikal-Bridges
1156,11,CHO,Shai Gilgeous-Alexander,Kentucky,5,311,10140,6556,1417,1411,0.484,0.347,0.845,32.6,21.1,4.6,4.5,29,0.137,3.2,13.1,Shai-Gilgeous-Alexander
1157,12,LAC,Miles Bridges,Michigan State,4,291,8460,3893,1641,656,0.473,0.346,0.809,29.1,13.4,5.6,2.3,16,0.091,-0.2,3.8,Miles-Bridges
1158,13,LAC,Jerome Robinson,Boston College,3,113,1604,514,208,131,0.363,0.31,0.721,14.2,4.5,1.8,1.2,-0.1,-0.003,-4.7,-1.1,Jerome-Robinson
1159,14,DEN,Michael Porter Jr.,Missouri,4,187,4878,2843,1104,198,0.506,0.417,0.797,26.1,15.2,5.9,1.1,13.9,0.137,1.4,4.2,Michael-Porter Jr.
1160,15,WAS,Troy Brown Jr.,Oregon,5,297,5951,1949,1144,448,0.429,0.354,0.772,20,6.6,3.9,1.5,7.8,0.063,-1.7,0.5,Troy-Brown Jr.
1161,16,PHO,Zhaire Smith,Texas Tech,2,13,143,48,15,12,0.378,0.316,0.667,11,3.7,1.2,0.9,0,0.011,-6.1,-0.1,Zhaire-Smith
1162,17,MIL,Donte DiVincenzo,Villanova,5,273,6645,2487,1258,758,0.42,0.362,0.777,24.3,9.1,4.6,2.8,13.4,0.097,0.1,3.5,Donte-DiVincenzo
1163,18,SAS,Lonnie Walker IV,Miami (FL),5,264,5537,2606,601,394,0.422,0.349,0.8,21,9.9,2.3,1.5,3.8,0.033,-2.8,-1.1,Lonnie-Walker IV
1164,19,ATL,Kevin Huerter,Maryland,5,349,10325,4265,1209,1092,0.444,0.385,0.766,29.6,12.2,3.5,3.1,14.3,0.067,-0.8,3.1,Kevin-Huerter
