,Pk,Player,College,WS/48,draft_class,College_Games_Played,College_Games_Started,College_Field_Goals_Made_Per_Game,College_Field_Goals_Attempted_Per_Game,College_FG%,College_2PT_Field_Goals_Made_Per_Game,College_2PT_Field_Goals_Attempted_Per_Game,College_2PT_FG%,College_3PT_Field_Goals_Made_Per_Game,College_3PT_Field_Goals_Attempted_Per_Game,College_3PT_FG%,College_Free_Throws_Made_Per_Game,College_Free_Throws_Attempted_Per_Game,College_FT%,Total_Rebounds_pergame,Assists_pergame,Steals_pergame,Blocks_pergame,Turnovers_pergame,Fouls_pergame,Points_pergame,Team_strength_of_schedule
0,1,Kenyon Martin,Cincinnati,0.1,2000.0,116,97.0,4.4,7.5,0.586,4.4,7.5,0.59,0.0,0.1,0.222,2.2,3.7,0.581,7.5,1.2,1.1,2.5,1.6,2.9,11.0,6.71
1,2,Stromile Swift,LSU,0.095,2000.0,50,40.0,5.1,9.0,0.56,4.9,8.4,0.585,0.2,0.7,0.242,3.1,5.1,0.613,7.0,0.7,1.3,2.6,2.5,2.6,13.4,5.92
3,4,Marcus Fizer,Iowa State,0.022,2000.0,97,91.0,7.1,13.9,0.511,6.9,13.2,0.524,0.2,0.7,0.292,4.4,6.3,0.702,7.4,1.0,0.9,0.9,2.3,2.6,18.9,6.3
4,5,Mike Miller,Florida,0.105,2000.0,65,56.0,4.5,9.2,0.483,3.3,5.8,0.565,1.2,3.5,0.345,3.1,4.4,0.718,6.0,2.3,1.2,0.3,2.2,1.9,13.3,7.1
5,6,DerMarr Johnson,Cincinnati,0.052,2000.0,32,32.0,4.4,9.2,0.478,2.8,4.8,0.575,1.6,4.4,0.371,2.2,3.0,0.737,3.8,1.4,1.0,0.9,1.4,2.0,12.6,8.5
6,7,Chris Mihm,Texas,0.073,2000.0,96,93.0,5.2,10.4,0.497,5.1,10.1,0.503,0.1,0.3,0.3,4.2,6.1,0.684,9.8,0.6,0.4,2.8,2.3,3.0,14.6,7.76
7,8,Jamal Crawford,Michigan,0.075,2000.0,17,16.0,6.2,15.0,0.412,4.2,9.1,0.468,1.9,5.9,0.327,2.4,3.0,0.784,2.8,4.5,1.1,0.9,3.1,1.1,16.6,9.27
8,9,Joel Przybilla,Minnesota,0.094,2000.0,49,45.0,4.1,6.9,0.591,4.1,6.9,0.591,0.0,0.0,,1.7,3.3,0.521,6.9,1.9,0.7,3.4,2.9,3.1,9.9,9.77
9,10,Keyon Dooling,Missouri,0.063,2000.0,59,40.0,3.8,9.2,0.411,2.6,5.8,0.452,1.1,3.4,0.338,3.4,4.7,0.733,2.4,3.4,1.3,0.5,2.3,1.7,12.1,6.11
10,11,Jérôme Moïso,UCLA,0.074,2000.0,62,51.0,4.9,9.8,0.495,4.8,9.5,0.505,0.1,0.4,0.227,2.2,3.5,0.614,6.8,1.1,1.0,1.3,2.3,2.8,12.0,9.48
